time,F7,AF7,AF8,F8,MARKER
154,0.07725767526107931,9348.487212407397,69919.10375672967,62409.600110002706,
156,0.07758741322305955,8321.945836294364,64525.8735419031,60116.46868053928,
158,0.07789007923972818,7324.102459755324,60500.70948275471,58950.24070451969,
160,0.07819599169803847,6369.195761418035,57530.41021174773,58518.95741156389,
162,0.07851324218996389,5459.247260198849,55008.22960194386,58190.96313841039,
164,0.07882436661873249,4584.667424997042,52250.262428261485,57336.25601126228,
166,0.07909275060448333,3729.538172049155,48724.20047243943,55569.150427055465,
168,0.07927654180146178,2879.068088191839,44211.72632017503,52895.34400126008,
170,0.07934490007438941,2026.118211355608,38856.5739542517,49699.052755266435,
172,0.07929039611513881,1174.2643408965494,33091.993454724034,46576.92751507762,
174,0.07913270896952761,336.3288775401461,27477.448136465177,44092.952565825435,
176,0.07891201086526649,-470.89161992424044,22497.72514129658,42553.664616229806,
178,0.07867435812338518,-1233.5266199487428,18388.884618959255,41885.813579410256,
180,0.07845453002289461,-1946.4006606469363,15052.243357193865,41657.55351325007,
182,0.07826285227225557,-2615.393041514739,12092.031089332297,41232.65929828402,
184,0.07808114366460112,-3255.4527342567226,8965.907328972138,39999.4461644893,
186,0.07786952081618105,-3885.0197751721544,5190.739865743769,37590.75064295483,
188,0.07758165720938191,-4518.994029518979,524.644046304688,34017.0476169301,
190,0.07718279839711209,-5162.959992175908,-4939.481788593921,29664.63989551683,
192,0.07666366984521704,-5810.908956753873,-10793.872131678496,25155.05653274288,
194,0.07604486620361033,-6447.374919341885,-16430.249477023037,21112.14460853724,
196,0.0753698700293658,-7053.21942165353,-21202.538473859375,17923.439253223914,
198,0.07468918240083543,-7612.900321415517,-24590.34121187588,15590.393988866694,
200,0.07404150339711818,-8120.473271851471,-26328.135535713736,13730.736613057337,
202,0.073439132578655,-8582.029928451771,-26471.692404930523,11740.050555762698,
204,0.07286325697015393,-9013.607990498582,-25373.343612773588,9059.161665170925,
206,0.07227108939607772,-9435.31686412009,-23555.72882942572,5445.5653637519135,
208,0.07161230234135056,-9863.864337390185,-21521.421831530188,1132.0521221507388,
210,0.07084859585646579,-10306.295902577083,-19584.326182671,-3205.2034853845316,
212,0.06996894288660023,-10757.325406549555,-17811.33193279846,-6664.591509938065,
214,0.06899460448125713,-11201.298673323598,-16103.653103440542,-8441.726215525181,
216,0.06797184735176158,-11618.089088689565,-14363.877661808625,-8141.354216173052,
218,0.06695498479732839,-11990.73181616628,-12648.384689210949,-5967.189928327479,
220,0.06598610980716871,-12311.927878556506,-11222.793118502985,-2709.000609237112,
222,0.06507924347758073,-12586.952916732953,-10494.463082307779,489.77792350904707,
224,0.06421503019814156,-12831.84413608865,-10852.226217237123,2510.854456180333,
226,0.06334814565758824,-13067.514049241883,-12482.554124533208,2642.7755590759484,
228,0.06242473657014851,-13311.983398367078,-15245.692357188755,815.8505594042135,
230,0.06140333200700194,-13573.652616641579,-18674.896801176757,-2398.280181947512,
232,0.060271256458009036,-13848.160257927242,-22110.10526878175,-6016.906029824392,
